iter	Passed	Remaining
0	59	59617
1	60	29940
2	60	20051
3	60	15100
4	60	12127
5	61	10146
6	61	8740
7	61	7676
8	62	6848
9	62	6187
10	62	5645
11	63	5193
12	63	4811
13	63	4484
14	63	4200
15	64	3951
16	64	3732
17	64	3537
18	65	3363
19	65	3206
20	65	3069
21	66	2940
22	66	2821
23	66	2712
24	66	2611
25	67	2519
26	67	2436
27	67	2359
28	68	2288
29	68	2220
30	69	2157
31	69	2097
32	69	2041
33	69	1988
34	70	1938
35	70	1891
36	70	1845
37	71	1801
38	71	1760
39	71	1721
40	71	1683
41	72	1648
42	72	1614
43	72	1582
44	73	1552
45	73	1524
46	73	1496
47	74	1469
48	74	1442
49	74	1418
50	74	1394
51	75	1370
52	75	1348
53	75	1326
54	75	1305
55	76	1284
56	76	1265
57	76	1246
58	77	1228
59	77	1210
60	77	1193
61	77	1176
62	78	1160
63	78	1145
64	78	1130
65	78	1116
66	79	1102
67	79	1088
68	79	1075
69	79	1061
70	80	1049
71	80	1037
72	80	1025
73	81	1013
74	81	1002
75	81	991
76	81	980
77	82	970
78	82	960
79	82	950
80	82	941
81	83	931
82	83	921
83	83	912
84	84	904
85	84	896
86	84	888
87	84	879
88	85	871
89	85	864
90	85	856
91	86	849
92	86	841
93	86	834
94	86	827
95	87	820
96	87	813
97	87	806
98	87	800
99	88	794
100	88	788
101	88	782
102	89	775
103	89	769
104	89	763
105	89	758
106	90	752
107	90	747
108	90	741
109	91	736
110	91	731
111	91	725
112	91	720
113	92	715
114	92	710
115	92	705
116	92	700
117	93	695
118	93	691
119	93	686
120	93	682
121	94	678
122	94	674
123	94	670
124	95	665
125	95	661
126	95	657
127	95	653
128	96	650
129	96	646
130	96	642
131	97	638
132	97	634
133	97	630
134	97	627
135	98	624
136	98	620
137	98	617
138	99	614
139	99	611
140	99	607
141	99	604
142	100	601
143	100	597
144	100	594
145	101	591
146	101	588
147	101	585
148	102	582
149	102	579
150	102	576
151	102	573
152	103	571
153	103	568
154	103	565
155	104	563
156	104	560
157	104	557
158	104	554
159	105	552
160	105	549
161	105	546
162	105	543
163	106	541
164	106	539
165	106	536
166	107	533
167	107	531
168	107	529
169	107	526
170	108	524
171	108	522
172	108	519
173	109	517
174	109	515
175	109	512
176	109	510
177	110	508
178	110	506
179	110	504
180	110	501
181	111	499
182	111	497
183	111	495
184	112	493
185	112	491
186	112	489
187	112	487
188	113	485
189	113	483
190	113	481
191	113	479
192	114	477
193	114	476
194	115	474
195	115	473
196	115	471
197	116	469
198	116	467
199	116	466
200	116	464
201	117	462
202	117	460
203	117	459
204	118	457
205	118	456
206	118	454
207	118	452
208	119	451
209	119	449
210	119	448
211	120	446
212	120	444
213	120	443
214	120	441
215	121	439
216	121	438
217	121	436
218	121	434
219	122	433
220	122	431
221	122	430
222	123	429
223	123	427
224	123	426
225	123	424
226	124	423
227	124	422
228	124	420
229	125	419
230	125	417
231	125	416
232	126	414
233	126	413
234	126	412
235	126	410
236	127	409
237	127	407
238	127	406
239	127	405
240	128	403
241	128	402
242	128	401
243	129	399
244	129	398
245	129	397
246	129	396
247	130	394
248	130	393
249	130	392
250	131	391
251	131	390
252	132	389
253	132	388
254	132	387
255	132	386
256	133	385
257	133	384
258	133	382
259	134	381
260	134	380
261	134	379
262	135	378
263	135	377
264	135	376
265	135	374
266	136	374
267	136	373
268	136	372
269	137	371
270	137	369
271	137	368
272	138	367
273	138	366
274	138	365
275	138	364
276	139	363
277	139	362
278	139	361
279	140	360
280	140	359
281	140	358
282	140	357
283	141	356
284	141	355
285	141	354
286	142	353
287	142	352
288	142	351
289	143	350
290	143	349
291	143	348
292	144	347
293	144	346
294	144	345
295	144	344
296	145	343
297	145	342
298	145	341
299	146	341
300	146	340
301	146	339
302	147	338
303	147	337
304	147	336
305	147	335
306	148	334
307	148	333
308	148	332
309	149	331
310	149	331
311	149	330
312	150	329
313	150	328
314	150	327
315	150	326
316	151	325
317	151	324
318	151	324
319	152	323
320	152	322
321	152	321
322	152	320
323	153	319
324	153	318
325	153	317
326	153	316
327	154	315
328	154	315
329	154	314
330	155	313
331	155	312
332	155	311
333	155	310
334	156	309
335	156	309
336	156	308
337	156	307
338	157	306
339	157	305
340	157	305
341	158	304
342	158	303
343	158	302
344	158	301
345	159	300
346	159	299
347	159	298
348	159	298
349	160	297
350	160	296
351	160	295
352	160	294
353	161	293
354	161	293
355	161	292
356	162	291
357	162	291
358	162	290
359	162	289
360	163	289
361	163	288
362	163	287
363	164	286
364	164	286
365	164	285
366	165	284
367	165	283
368	165	283
369	165	282
370	166	281
371	166	280
372	166	280
373	166	279
374	167	278
375	167	277
376	167	277
377	168	276
378	168	275
379	168	275
380	168	274
381	169	273
382	169	273
383	169	272
384	170	271
385	170	270
386	170	270
387	170	269
388	171	268
389	171	267
390	171	267
